# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot dEdtnow
500.002 -1.77315 0.94875 0.03469 -0.34126 -0.60568 -0.02581 2.1592e-02 -9.0100e-02 3.8353e-01 6.8412e-06 -3.1781e-05 9.8469e-05 0.00017 0.00024 0.00025 0.00001 -0.00003 0.00001 2.03883e-05 6.60210e-04 -2.2826505115e-04 4.5233281139e-04 9.4345931848e-10 
510.002 1.98439 -0.15016 -0.00155 0.07591 0.70126 0.02556 -2.5207e-02 -8.5496e-02 3.0831e-01 -1.5828e-05 -1.9891e-05 8.1069e-05 0.00019 0.00022 0.00026 0.00002 -0.00000 -0.00003 1.35471e-05 6.60123e-04 -2.2826951900e-04 4.4540049495e-04 9.1240887738e-10 
520.002 -1.83005 -0.57592 -0.01618 0.22953 -0.69514 -0.02256 -1.2932e-03 1.7656e-01 3.6801e-01 -7.0378e-06 4.2540e-05 1.0080e-04 0.00018 0.00021 0.00027 -0.00002 0.00001 -0.00001 2.23073e-05 6.60255e-04 -2.2825994153e-04 4.5430266101e-04 9.7204384720e-10 
530.002 1.56958 1.30992 0.04794 -0.45591 0.51199 0.01753 1.1375e-01 -6.1072e-02 3.3546e-01 2.8360e-05 -5.3445e-06 8.7566e-05 0.00020 0.00020 0.00026 -0.00002 0.00003 0.00001 1.64634e-05 6.59811e-04 -2.2826699790e-04 4.4800789292e-04 8.4183116996e-10 
540.002 -0.79253 -1.78812 -0.07151 0.65427 -0.28797 -0.01015 -1.3069e-02 -1.4193e-01 3.4001e-01 2.9309e-06 -3.8150e-05 9.0942e-05 0.00020 0.00020 0.00026 -0.00003 -0.00003 0.00000 1.81487e-05 6.60328e-04 -2.2826467669e-04 4.5021151623e-04 9.8617565859e-10 
550.002 -0.05294 2.02355 0.08881 -0.69228 -0.00796 -0.00748 -1.6254e-01 3.5770e-02 3.9603e-01 -3.0239e-05 4.3330e-06 1.0535e-04 0.00022 0.00018 0.00027 0.00002 0.00000 0.00001 2.33960e-05 6.60180e-04 -2.2826133049e-04 4.5531461088e-04 8.9073440650e-10 
560.002 0.91008 -1.73396 -0.05939 0.65623 0.30335 0.02022 1.1168e-01 9.7002e-02 2.9265e-01 2.1872e-05 1.9568e-05 7.8194e-05 0.00022 0.00017 0.00027 0.00001 0.00001 -0.00001 1.36119e-05 6.60302e-04 -2.2826800450e-04 4.4564634127e-04 8.7970963141e-10 
570.002 -1.24610 1.51949 0.04449 -0.52757 -0.48408 -0.01954 1.1782e-01 -8.9274e-02 3.8782e-01 2.7010e-05 -2.4715e-05 1.0613e-04 0.00019 0.00021 0.00026 0.00002 -0.00002 0.00002 2.32730e-05 6.60129e-04 -2.2826209274e-04 4.5513986198e-04 9.7330685063e-10 
580.002 1.93900 -0.73222 -0.01405 0.24380 0.62848 0.02644 -7.6190e-02 -1.3593e-01 3.1957e-01 -2.1479e-05 -2.8658e-05 8.6435e-05 0.00018 0.00022 0.00027 0.00001 0.00001 -0.00002 1.65771e-05 6.59758e-04 -2.2826678278e-04 4.4806791477e-04 8.9996493598e-10 
590.002 -1.92341 0.04116 -0.02599 0.00081 -0.72701 -0.03426 -5.9230e-02 1.3134e-01 3.3479e-01 -1.2728e-05 3.3768e-05 9.2051e-05 0.00017 0.00022 0.00027 0.00001 0.00001 -0.00001 1.80034e-05 6.60342e-04 -2.2826316491e-04 4.5008180016e-04 1.0098737438e-09 
600.002 1.83940 0.95209 0.08640 -0.29655 0.61060 0.01421 4.7377e-02 -7.5768e-02 3.9671e-01 1.9471e-05 -1.0695e-05 1.0555e-04 0.00020 0.00019 0.00027 -0.00002 0.00001 0.00002 2.18029e-05 6.60112e-04 -2.2826395490e-04 4.5365134387e-04 8.5522486992e-10 
610.002 -1.25817 -1.43807 -0.07835 0.54266 -0.50859 -0.00567 -1.8682e-02 -6.6792e-02 2.4684e-01 -4.6460e-06 -2.2206e-05 6.4500e-05 0.00018 0.00023 0.00025 -0.00002 -0.00003 -0.00001 8.74550e-06 6.60432e-04 -2.2827155226e-04 4.4090546983e-04 8.1473635934e-10 
620.002 1.04488 1.74873 0.08805 -0.61438 0.31692 0.00425 -1.4392e-01 1.5081e-01 3.9405e-01 -3.7572e-05 2.6547e-05 1.0738e-04 0.00022 0.00017 0.00027 -0.00002 -0.00000 -0.00001 2.58613e-05 6.60015e-04 -2.2825975787e-04 4.5761683469e-04 9.5748065847e-10 
630.002 0.02740 -2.02686 -0.07803 0.68842 -0.00999 0.01799 1.4563e-01 4.9134e-02 3.5576e-01 2.7414e-05 1.4745e-05 9.2556e-05 0.00023 0.00017 0.00026 -0.00000 0.00002 -0.00001 1.88221e-05 6.59869e-04 -2.2826454515e-04 4.5042608550e-04 9.6788028456e-10 
640.002 -0.57948 1.88513 0.04209 -0.67183 -0.22901 -0.02957 8.3543e-02 -1.5125e-01 2.9730e-01 2.0509e-05 -3.4561e-05 8.3222e-05 0.00022 0.00018 0.00026 0.00001 -0.00003 0.00001 1.58412e-05 6.60195e-04 -2.2826652050e-04 4.4776960523e-04 9.8267621047e-10 
650.002 1.52997 -1.34401 0.01537 0.47730 0.50004 0.02380 -1.5310e-01 -1.3907e-01 4.1693e-01 -3.8146e-05 -2.4949e-05 1.1081e-04 0.00018 0.00021 0.00027 0.00002 0.00002 -0.00002 2.77548e-05 6.60202e-04 -2.2826054744e-04 4.5969642498e-04 9.3022329031e-10 
660.002 -1.73766 0.81979 -0.02600 -0.31457 -0.66900 -0.02776 -5.3670e-02 1.6189e-01 1.7883e-01 -6.0885e-06 3.9643e-05 5.0230e-05 0.00018 0.00022 0.00026 0.00002 0.00003 -0.00000 7.86365e-06 6.60404e-04 -2.2826995236e-04 4.3999769593e-04 8.1051017481e-10 
670.002 2.00445 -0.21478 0.05405 0.04865 0.69425 0.02426 5.1658e-03 5.1488e-03 4.4993e-01 1.7355e-05 -5.1273e-06 1.1101e-04 0.00019 0.00023 0.00025 -0.00002 -0.00001 0.00004 2.50051e-05 6.60072e-04 -2.2826231900e-04 4.5681524682e-04 1.0320814721e-09 
680.002 -1.89553 -0.72685 -0.08093 0.23851 -0.64559 -0.00849 6.3569e-02 -1.5627e-01 3.2382e-01 8.9629e-06 -4.9275e-05 7.6058e-05 0.00018 0.00026 0.00023 -0.00001 -0.00002 -0.00001 1.64495e-05 6.59964e-04 -2.2826633218e-04 4.4814764774e-04 9.7438379661e-10 
690.002 1.49673 1.31292 0.07681 -0.46738 0.52593 -0.00385 -1.0213e-01 -1.2894e-02 2.2431e-01 -2.9137e-05 1.1282e-06 5.2762e-05 0.00023 0.00021 0.00022 -0.00004 -0.00000 -0.00003 7.39813e-06 6.60105e-04 -2.2827249189e-04 4.3923031268e-04 9.2578249466e-10 
700.002 -0.74055 -1.84404 -0.05089 0.65112 -0.27641 0.01226 -1.2717e-01 1.9035e-02 4.7017e-01 -1.5515e-05 1.7579e-05 1.1402e-04 0.00023 0.00018 0.00025 -0.00001 0.00003 0.00003 2.79592e-05 6.60282e-04 -2.2826207178e-04 4.5997861232e-04 9.5044508460e-10 
710.002 0.00167 1.92673 0.04063 -0.73584 -0.00050 -0.02393 1.6419e-01 9.1716e-02 2.6359e-01 4.8353e-05 1.2527e-05 6.2617e-05 0.00026 0.00017 0.00023 -0.00000 -0.00001 0.00002 1.27965e-05 6.60353e-04 -2.2826694283e-04 4.4488300717e-04 7.8918805260e-10 
720.002 0.58163 -1.95700 -0.02206 0.65371 0.22114 0.02812 8.5396e-02 -1.2781e-01 2.5364e-01 1.4364e-05 -2.7041e-05 5.7584e-05 0.00023 0.00021 0.00022 0.00005 -0.00002 0.00000 9.64414e-06 6.60135e-04 -2.2827243652e-04 4.4150620385e-04 9.6541056980e-10 
730.002 -1.37222 1.50239 -0.02046 -0.51422 -0.45435 -0.02545 -1.2480e-01 -1.4065e-01 4.9036e-01 -2.5815e-05 -3.9646e-05 1.0471e-04 0.00023 0.00022 0.00022 0.00005 -0.00001 0.00002 3.00720e-05 6.60089e-04 -2.2825920350e-04 4.6190201083e-04 1.0347017496e-09 
740.002 1.78413 -0.92339 0.04378 0.32327 0.61769 0.01829 4.6871e-02 -1.5184e-01 2.7201e-01 -1.4278e-06 -2.2301e-05 6.2760e-05 0.00022 0.00019 0.00025 0.00002 0.00002 -0.00003 1.01951e-05 6.60071e-04 -2.2827336483e-04 4.4199277386e-04 9.1037127130e-10 
750.002 -1.94551 0.06141 -0.04617 -0.03238 -0.72290 -0.01582 5.9638e-02 1.7339e-01 4.2249e-01 -4.5310e-07 4.8586e-05 1.0155e-04 0.00018 0.00024 0.00023 -0.00003 0.00002 -0.00001 2.56504e-05 6.60384e-04 -2.2826172662e-04 4.5777313001e-04 9.4866233916e-10 
760.002 1.91373 0.56256 0.06754 -0.21706 0.67447 0.00674 -6.7529e-02 2.6236e-02 3.7784e-01 -1.0105e-06 1.2309e-05 8.1478e-05 0.00018 0.00026 0.00022 0.00002 0.00002 0.00003 1.55882e-05 6.60173e-04 -2.2827241428e-04 4.4748859675e-04 7.8155134175e-10 
770.002 -1.44552 -1.32044 -0.07815 0.48372 -0.53104 0.01073 1.9153e-01 1.0482e-01 2.6263e-01 3.0774e-05 1.2992e-05 5.6760e-05 0.00022 0.00019 0.00024 -0.00003 -0.00001 -0.00003 1.10814e-05 6.60361e-04 -2.2826972834e-04 4.4317253737e-04 9.4678661646e-10 
